store_id,date,pet_type,num_adopted,total_sales,employee,customer_satisfaction
S003,2024-09-25,Hamster,10,$695.25,Beast boy,
S001,2024-09-06,Hamster,7,$455,Cyborg,0.7
S002,2024-09-02,Hamster,N/A,,Beast boy,N/A
S001,2024-09-10,Dog,N/A,$534.36,Robin,N/A
S003,2024-09-18,Bird,N/A,$444.59,raven,
S003,2024-09-12,Cat,3,$685,Beast boy,4.4
S004,2024-09-19,Bird,0,,Robin,-2.6
S001,2024-09-23,Dog,7,,Beast Boy,
S002,2024-09-02,Cat,6,$75.62,Starfire,-0.9
S001,2024-09-16,Hamster,,$426.72,Robin,-3.4
S001,2024-09-05,Cat,3,,Beast boy,N/A
S003,2024-09-09,Rabbit,6,$320.08,Cyborg,-1.5
S001,2024-09-03,Bird,,,starfire,
S001,2024-09-20,Bird,8,$376.17,Beast boy,-1.7
S003,2024-09-02,Hamster,7,$543,Cyborg,
S003,2024-09-25,Hamster,N/A,$535.26,Robin,-2.0
S001,2024-09-03,Bird,,$354.42,raven,-4.0
S003,2024-09-18,Rabbit,7,,Robin,0.2
S004,2024-09-02,Dog,N/A,,Beast boy,-2.2
S001,2024-09-15,Cat,N/A,$287.75,Beast Boy,-1.1
S004,2024-09-29,Hamster,7,$176,raven,N/A
S003,2024-09-07,Bird,4,,Beast boy,N/A
S002,2024-09-07,Bird,N/A,$297.67,Starfire,N/A
S001,2024-08-31,Rabbit,5,$488.64,beast boy,
S004,2024-09-29,Dog,2,$624,Cyborg,N/A
S002,2024-09-07,Bird,2,,raven,N/A
S001,2024-09-09,Bird,,,starfire,
S001,2024-09-29,Hamster,,$246.42,Robin,-1.0
S004,2024-09-14,Dog,0,$88,Cyborg,1.6
S003,2024-09-15,Hamster,6,$697.35,starfire,3.3
S004,2024-09-13,Dog,,$202.62,cyborg,N/A
S003,2024-09-21,Dog,N/A,,cyborg,
S003,2024-09-25,Bird,6,$603,Cyborg,-0.9
S004,2024-09-28,Rabbit,N/A,$208,Cyborg,4.4
S002,2024-09-18,Cat,6,,Starfire,
S003,2024-09-04,Dog,,$315.28,Robin,
S004,2024-09-20,Hamster,7,$272,beast boy,
S003,2024-09-29,Cat,9,$291,raven,-4.0
S004,2024-09-25,Bird,6,,robin,-2.3
S003,2024-09-28,Rabbit,,$636.10,cyborg,-0.1
S003,2024-09-09,Bird,7,$308.79,Beast Boy,N/A
S001,2024-09-23,Bird,,$666.86,cyborg,
S001,2024-09-23,Bird,,$480.80,Cyborg,4.1
S002,2024-09-23,Hamster,,$82.88,Raven,N/A
S001,2024-09-04,Cat,N/A,$692.73,robin,2.4
S001,2024-09-27,Rabbit,1,$94.60,Cyborg,-1.2
S001,2024-09-13,Cat,N/A,$288,beast boy,4.8
S002,2024-09-01,Cat,3,$553.34,Starfire,N/A
S003,2024-09-15,Rabbit,10,$230.23,robin,-0.6
S002,2024-09-04,Cat,3,$401.14,robin,-3.4
S002,2024-09-27,Cat,2,$479.69,Robin,-3.2
S001,2024-09-05,Rabbit,2,,raven,N/A
S002,2024-09-20,Dog,,$228,Beast boy,-2.3
S004,2024-09-29,Bird,5,,Raven,
S003,2024-09-05,Hamster,9,$115,Beast Boy,N/A
S003,2024-09-06,Hamster,2,,starfire,3.8
S001,2024-09-05,Dog,N/A,,Cyborg,-2.6
S003,2024-09-18,Cat,,$194.01,robin,0.4
S001,2024-09-16,Cat,6,$583,Starfire,N/A
S002,2024-09-19,Hamster,10,$347.73,cyborg,-0.7
S004,2024-09-03,Hamster,1,$461,raven,N/A
S003,2024-09-13,Hamster,N/A,,Starfire,
S003,2024-09-01,Cat,N/A,$641.31,Robin,
S003,2024-09-07,Dog,N/A,$259.37,Starfire,
S004,2024-09-18,Hamster,,,Raven,3.4
S004,2024-09-07,Rabbit,N/A,$382,cyborg,N/A
S001,2024-09-02,Rabbit,7,$593,raven,-0.2
S001,2024-09-19,Hamster,N/A,$669,Starfire,3.5
S002,2024-09-13,Rabbit,,,raven,
S002,2024-09-10,Dog,N/A,,Beast Boy,N/A
S001,2024-09-09,Hamster,5,$490,Beast Boy,
S004,2024-09-17,Cat,7,$473,raven,
S004,2024-09-16,Rabbit,,$458,Beast boy,
